Date,Open,High,Low,Close,Volume
2024-08-01,171.9800,175.6800,170.5100,172.4500,17177833
2024-08-02,168.1900,170.2100,166.3900,168.4000,18907773
2024-08-05,157.3700,165.9400,156.6000,160.6400,34907815
2024-08-06,160.9450,162.3500,158.1300,160.5400,36146541
2024-08-07,163.2400,164.7900,160.2400,160.7500,19334246
2024-08-08,162.3440,165.5000,162.0300,163.8400,15733612
2024-08-09,161.6450,165.5200,160.9300,165.3900,13549230
2024-08-12,165.9950,166.7000,163.5500,163.9500,12434969
2024-08-13,165.1850,166.5400,164.7700,165.9300,12717628
2024-08-14,164.2100,164.9600,159.5300,162.0300,22515895
2024-08-15,162.2100,163.5200,161.4900,163.1700,18392452
2024-08-16,163.4100,166.9500,163.0800,164.7400,16853137
2024-08-19,167.0000,168.4700,166.0900,168.4000,13100762
2024-08-20,168.7400,170.4100,168.6600,168.9600,12622523
2024-08-21,166.9900,168.6400,166.5700,167.6300,15269550
2024-08-22,169.0400,169.4200,165.0300,165.4900,19123778
2024-08-23,166.5500,167.9500,165.6600,167.4300,14281621
2024-08-26,168.1550,169.3800,166.3200,167.9300,11990305
2024-08-27,167.6100,168.2450,166.1600,166.3800,13718162
2024-08-28,166.7800,167.3900,163.2800,164.5000,15208736
2024-08-29,166.0600,167.6300,161.9820,163.4000,17133830
2024-08-30,164.2200,165.2800,163.4100,165.1100,18498777
2024-09-03,163.3150,163.3800,157.8550,158.6100,26533110
2024-09-04,158.0750,160.4000,157.4400,157.8100,15942997
2024-09-05,157.7800,161.0150,157.5200,158.6000,14139501
2024-09-06,158.6900,159.2200,151.9350,152.1300,24999062
2024-09-09,153.6300,154.6400,148.2000,149.5400,28057746
2024-09-10,151.4500,152.3000,149.5427,150.0100,20401774
2024-09-11,151.0900,152.4800,148.7000,152.1500,18991486
2024-09-12,154.8100,155.6100,153.5000,155.5400,21024062
2024-09-13,156.3620,159.2750,156.1100,158.3700,16733908
2024-09-16,158.3300,159.2400,157.6100,158.9900,14157614
2024-09-17,160.0900,161.5900,159.4100,160.2800,12064790
2024-09-18,160.8500,161.6300,159.6600,160.8100,16756450
2024-09-19,164.8200,164.9900,162.5216,163.2400,17548190
2024-09-20,164.5200,164.7500,163.1800,164.6400,46362673
2024-09-23,165.3400,166.6100,162.9500,163.0700,15648446
2024-09-24,164.2500,164.5500,162.0300,163.6400,18774056
2024-09-25,162.9700,164.2170,162.7750,162.9900,13607892
2024-09-26,165.0300,165.5000,163.5000,163.8300,18234497
2024-09-27,163.9100,166.9700,163.8300,165.2900,13604261
2024-09-30,164.7800,167.3600,164.6400,167.1900,14083451
2024-10-01,168.8600,170.4400,165.9000,168.4200,18629506
2024-10-02,167.7600,168.8800,166.2500,167.3100,12744975
2024-10-03,165.8200,167.9100,165.3700,167.2100,11004333
2024-10-04,169.3400,169.5500,166.9600,168.5600,11435318
2024-10-07,169.1400,169.9000,164.1300,164.3900,14034722
2024-10-08,165.4300,166.1000,164.3100,165.7000,11723885
2024-10-09,164.8550,166.2600,161.1200,163.0600,19666411
2024-10-10,162.1100,164.3107,161.6400,163.1800,12900492
2024-10-11,163.3300,165.2700,162.5000,164.5200,10945971
2024-10-14,164.9100,167.6200,164.7800,166.3500,9981765
2024-10-15,167.1400,169.0900,166.0500,166.9000,14829338
2024-10-16,166.0300,167.2800,165.2160,166.7400,9968474
2024-10-17,167.3800,167.9300,164.3700,164.5100,15113356
2024-10-18,164.8700,166.3699,164.7500,165.0500,13091267
2024-10-21,164.5800,166.2200,164.3050,165.8000,11384047
2024-10-22,164.7000,167.4700,164.6700,166.8200,11958617
2024-10-23,166.4300,167.6000,163.6325,164.4800,12754283
2024-10-24,164.5900,165.0500,162.7700,164.5300,12764430
2024-10-25,165.3650,167.4000,165.2300,166.9900,14566410
2024-10-28,170.5900,170.6060,165.7900,168.3400,20858254
2024-10-29,169.3850,171.8600,168.6600,171.1400,28916106
2024-10-30,182.4100,183.7900,175.7451,176.1400,49698313
2024-10-31,174.7200,178.4200,172.5600,172.6900,32801898
2024-11-01,171.5400,173.8200,170.3100,172.6500,21752859
2024-11-04,171.2400,171.9200,169.4850,170.6800,16193994
2024-11-05,170.8300,172.0973,170.3700,171.4100,12518282
2024-11-06,175.3500,178.6400,175.0400,178.3300,27061510
2024-11-07,179.1100,182.5800,178.8900,182.2800,16730407
2024-11-08,182.0000,182.3500,179.5700,179.8600,15021549
2024-11-11,180.0700,182.0850,179.9900,181.9700,12503422
2024-11-12,181.3800,184.0250,180.9900,183.3200,14065845
2024-11-13,182.1500,182.6150,180.1200,180.4900,13969709
2024-11-14,179.7500,180.4450,176.0300,177.3500,17925763
2024-11-15,175.6400,175.8800,172.7450,173.8900,21708870
2024-11-18,174.9550,176.9100,174.4200,176.8000,18725422
